Stellar Spectroscopy - BD-03 4630	
	
Date of Observation:	7/27/2010
Star Observed:	BD-03 4630
Spectral Class:	A4
	
Wavelength (A)	Intensity (Counts)
6626	3268.884521
6626.8	3374.553711
6627.6	3289.241455
6628.4	3301.457275
6629.2	3272.753418
6630	3290.529785
6630.8	3232.297607
6631.6	3272.885986
6632.4	3286.405762
6633.2	3349.949463
6634	3379.030518
6634.8	3352.451904
6635.6	3270.146729
6636.4	3304.09668
6637.2	3286.9729
6638	3311.043457
6638.8	3339.744385
6639.6	3377.928955
6640.4	3295.414795
6641.2	3317.724609
6642	3313.262207
6642.8	3326.648193
6643.6	3323.27002
6644.4	3258.207031
6645.2	3260.401855
6646	3286.604736
6646.8	3340.285156
6647.6	3352.908691
6648.4	3299.443115
6649.2	3317.137695
6650	3338.768066
6650.8	3286.405762
6651.6	3334.710205
6652.4	3341.69043
6653.2	3317.159912
6654	3327.955322
6654.8	3322.273682
6655.6	3338.149902
6656.4	3392.807373
6657.2	3292.173828
6658	3301.426514
6658.8	3334.310791
6659.6	3381.918701
6660.4	3354.115234
6661.2	3290.719482
6662	3412.109619
6662.8	3364.848145
6663.6	3377.7146
6664.4	3385.21875
6665.2	3342.518311
6666	3395.779297
6666.8	3505.628662
6667.6	3464.361084
6668.4	3525.78125
6669.2	3567.764648
6670	3473.000488
6670.8	3383.136719
6671.6	3313.079346
6672.4	3319.934082
6673.2	3279.369629
6674	3289.61084
6674.8	3355.30127
6675.6	3349.247803
6676.4	3426.878418
6677.2	3333.077637
6678	3324.00415
6678.8	3313.06665
6679.6	3335.773438
6680.4	3386.853271
6681.2	3437.449951
6682	3503.173584
6682.8	3351.252686
6683.6	3416.016113
6684.4	3344.041992
6685.2	3460.987793
6686	3302.494873
6686.8	3306.091797
6687.6	3345.565918
6688.4	3405.159912
6689.2	3412.024414
6690	3384.621826
6690.8	3418.987793
6691.6	3458.89917
6692.4	3410.20752
6693.2	3437.812012
6694	3415.980469
6694.8	3390.957275
6695.6	3359.279541
6696.4	3401.321533
6697.2	3395.798584
6698	3394.005615
6698.8	3325.404053
6699.6	3440.201416
6700.4	3438.539551
6701.2	3376.672852
6702	3307.233643
6702.8	3391.364746
6703.6	3376.005371
6704.4	3412.570557
6705.2	3264.508057
6706	3313.379639
6706.8	3411.702881
6707.6	3333.514648
6708.4	3299.865234
6709.2	3243.210205
6710	3347.299072
6710.8	3345.312988
6711.6	3385.864746
6712.4	3314.646729
6713.2	3380.597656
6714	3408.918213
6714.8	3377.397705
6715.6	3391.169434
6716.4	3294.868408
6717.2	3360.783447
6718	3379.744629
6718.8	3379.302002
6719.6	3357.441406
6720.4	3455.171875
6721.2	3442.367432
6722	3405.725586
6722.8	3378.566162
6723.6	3336.107422
6724.4	3384.597412
6725.2	3390.912354
6726	3437.195312
6726.8	3414.961914
6727.6	3437.068604
6728.4	3389.114502
6729.2	3310.880127
6730	3353.333496
6730.8	3484.769043
6731.6	3303.577637
6732.4	3338.747314
6733.2	3362.214355
6734	3290.341309
6734.8	3344.134033
6735.6	3294.943115
6736.4	3357.845215
6737.2	3306.692383
6738	3350.141602
6738.8	3358.759033
6739.6	3359.054443
6740.4	3285.618164
6741.2	3258.236328
6742	3352.334473
6742.8	3302.354492
6743.6	3327.486328
6744.4	3436.854004
6745.2	3357.959717
6746	3437.265625
6746.8	3353.561279
6747.6	3399.027344
6748.4	3433.252441
6749.2	3452.764648
6750	3417.402588
6750.8	3420.879883
6751.6	3506.597412
6752.4	3535.432861
6753.2	3389.647949
6754	3449.838867
6754.8	3420.142822
6755.6	3495.18042
6756.4	3523.51416
6757.2	3446.200928
6758	3462.127441
6758.8	3481.99585
6759.6	3445.247559
6760.4	3519.14917
6761.2	3532.339355
6762	3571.372803
6762.8	3454.653564
6763.6	3385.062012
6764.4	3547.588135
6765.2	3429.491699
6766	3398.61377
6766.8	3425.939941
6767.6	3369.024902
6768.4	3436.394531
6769.2	3399.967773
6770	3420.739258
6770.8	3414.269287
6771.6	3430.93335
6772.4	3373.749268
6773.2	3441.036865
6774	3395.270508
6774.8	3468.977051
6775.6	3425.832275
6776.4	3472.493164
