Steller Spectroscopy HD 200207	
	
Date of Observation:	7/23/2010
Star Observed:	HD 200207
Spectral Class:	G5
	
Wavelength (A)	Intensity (Counts)
6786.8	17426.14
6787.6	18111.82
6788.4	18844.21
6789.2	18352.35
6790	18723.33
6790.8	18698.96
6791.6	18894.07
6792.4	18716.29
6793.2	18676.21
6794	18500.27
6794.8	18779.73
6795.6	19055.36
6796.4	18770.89
6797.2	18962.49
6798	19212.33
6798.8	18689.25
6799.6	18710.81
6800.4	18698.07
6801.2	18688.46
6802	18825.76
6802.8	19000.08
6803.6	18257.57
6804.4	18192.54
6805.2	18718.49
6806	18957.96
6806.8	18404.29
6807.6	18531.65
6808.4	18890.01
6809.2	18985.53
6810	18378.26
6810.8	18359.63
6811.6	18981.23
6812.4	18913.28
6813.2	18992.76
6814	18637.3
6814.8	18263.33
6815.6	18267.41
6816.4	19188.36
6817.2	19268.27
6818	19422.33
6818.8	19166.63
6819.6	19232.56
6820.4	18318.9
6821.2	18663.8
6822	18965.26
6822.8	19257.7
6823.6	19621.17
6824.4	19346.78
6825.2	19000.27
6826	18960.29
6826.8	19356.22
6827.6	19065.85
6828.4	18339.77
6829.2	18376.28
6830	19146.37
6830.8	19208.37
6831.6	19308.36
6832.4	19548.31
6833.2	19190.7
6834	19003.46
6834.8	19611.1
6835.6	19331.02
6836.4	19347.36
6837.2	18815.56
6838	18617.17
6838.8	18305.93
6839.6	17912.2
6840.4	17769.46
6841.2	17338.21
6842	17091.11
6842.8	17317.34
6843.6	17400.52
6844.4	17919.12
6845.2	18664.39
6846	18420.25
6846.8	18227.5
6847.6	18291.61
6848.4	18287.67
6849.2	18209.74
6850	18347.33
6850.8	18516.26
6851.6	18349.68
6852.4	18510.83
6853.2	18745.67
6854	18374.63
6854.8	17360.97
6855.6	16862.24
6856.4	17765.14
6857.2	18061.39
6858	17557.33
6858.8	18281.96
6859.6	18664.75
6860.4	18009.34
6861.2	17619.34
6862	17182.12
6862.8	17719.54
6863.6	18495.13
6864.4	18670.35
6865.2	18716.29
6866	18859.51
6866.8	17708.05
6867.6	14632.76
6868.4	12071.34
6869.2	12104.37
6870	13480.41
6870.8	13856.59
6871.6	13769.57
6872.4	13895.18
6873.2	14086.61
