Stellar Spectroscopy - BD+36-4307	
	
Date of Observation:	7/23/2010
Star Observed:	BD+36 4307
Spectral Class:	K0
	
Wavelength (A)	Intensity (Counts)
6742	8478.89
6742.8	8361.83
6743.6	7838.17
6744.4	8153.04
6745.2	8303.6
6746	8233.26
6746.8	8194.2
6747.6	8098.9
6748.4	8183.63
6749.2	8347.96
6750	8229.99
6750.8	7886.46
6751.6	8502.22
6752.4	8503.32
6753.2	7973.14
6754	8062.14
6754.8	8451.47
6755.6	8377.18
6756.4	8402.72
6757.2	8682.38
6758	8924.95
6758.8	8951.8
6759.6	8840.85
6760.4	9031.19
6761.2	9207.33
6762	9006.61
6762.8	8840.05
6763.6	9014.85
6764.4	9061.39
6765.2	8966.07
6766	8850.59
6766.8	8465.5
6767.6	8293.45
6768.4	8154.2
6769.2	8434.54
6770	8735.11
6770.8	8410.35
6771.6	8137.26
6772.4	8277.82
6773.2	8604.51
6774	8981.66
6774.8	9015.72
6775.6	9015.03
6776.4	8927.22
6777.2	8739.08
6778	8454.48
6778.8	8588.95
6779.6	8731.23
6780.4	8938.44
6781.2	8876.38
6782	8652.61
6782.8	8371.51
6783.6	7960.42
6784.4	7662.96
6785.2	7887.96
6786	8006.88
6786.8	7961.02
6787.6	8202.96
6788.4	8694.98
6789.2	8529.48
6790	8603.45
6790.8	8617.63
6791.6	8637.29
6792.4	8623.62
6793.2	8636.84
6794	8291.12
6794.8	8551.41
6795.6	8732.1
6796.4	8458.79
6797.2	8462.58
6798	8778.24
6798.8	8683.88
6799.6	8435.59
6800.4	8554.24
6801.2	8568.02
6802	8535.81
6802.8	8669.11
6803.6	8463.21
6804.4	8284.1
6805.2	8429.62
6806	8803.14
6806.8	8643.27
6807.6	8279.14
6808.4	8654.58
6809.2	8756.26
6810	8461.92
6810.8	8227.43
6811.6	8546.9
6812.4	8588.4
6813.2	8577.62
6814	8575.86
6814.8	8240.45
6815.6	7919.11
6816.4	8587.12
6817.2	9002.22
6818	9029.27
6818.8	8765.92
6819.6	8880.73
