Stellar Spectroscopy - BD+00 4814	
	
Date of Observation:	8/3/2010
Star Observed:	BD+00 4814
Spectral Class:	M0
	
Wavelength (A)	Intensity (Counts)
6698.8	6401.240723
6699.6	6484.200684
6700.4	6683.459961
6701.2	6733.887207
6702	6906.495117
6702.8	7000.098633
6703.6	7072.658203
6704.4	6869.07373
6705.2	6871.80957
6706	6793.708008
6706.8	6898.214355
6707.6	7000.776367
6708.4	6983.362305
6709.2	7228.335449
6710	6866.582031
6710.8	6606.171875
6711.6	6792.918457
6712.4	6775.700684
6713.2	6768.185059
6714	6632.198242
6714.8	6188.033203
6715.6	5768.307129
6716.4	5815.902344
6717.2	5933.737793
6718	5494.963379
6718.8	5635.090332
6719.6	5879.336914
6720.4	6047.399902
6721.2	6018.095703
6722	6033.184082
6722.8	6165.337402
6723.6	6192.280273
6724.4	6297.231934
6725.2	6191.918945
6726	6120.410156
6726.8	6187.731445
6727.6	6304.096191
6728.4	6407.92334
6729.2	6395.15625
6730	6285.333008
6730.8	6390.812012
6731.6	6341.085938
6732.4	6343.186523
6733.2	6294.445312
6734	6468.935059
6734.8	6419.97998
6735.6	6395.851074
6736.4	6501.247559
6737.2	6509.916504
6738	6558.293945
6738.8	6475.807129
6739.6	6243.55127
6740.4	6421.874023
6741.2	6632.403809
6742	6687.740234
6742.8	6473.604004
6743.6	6325.400879
6744.4	6574.116699
6745.2	6860.492188
6746	6799.321777
6746.8	6594.546387
6747.6	6399.824219
6748.4	5913.508301
6749.2	5941.350586
6750	6187.519043
6750.8	6291.60791
6751.6	6434.580078
6752.4	6266.358398
6753.2	5720.731934
6754	5741.589844
6754.8	6182.404297
6755.6	6274.338379
6756.4	6437.951172
6757.2	6442.287598
6758	6555.77002
6758.8	6519.01709
6759.6	6496.333984
6760.4	6475.702148
6761.2	6727.021484
6762	6424.07373
6762.8	6228.659668
6763.6	6565.072266
6764.4	6561.944824
6765.2	6647.575195
6766	6493.025391
6766.8	6310.428711
6767.6	6360.383789
6768.4	6702.887695
6769.2	6867.37793
6770	6811.415527
6770.8	6691.37793
6771.6	6513.604492
6772.4	6719.395996
6773.2	7099.564941
6774	7082.694824
6774.8	7194.734863
6775.6	7225.541504
6776.4	7319.456055
6777.2	7452.289551
6778	7328.111328
6778.8	7362.911621
6779.6	7530.34082
6780.4	7534.987305
6781.2	7303.432129
6782	6758.747559
6782.8	6441.500488
6783.6	6188.043945
6784.4	6000.48291
6785.2	5992.003418
6786	6037.757324
6786.8	6157.158691
6787.6	6506.512207
6788.4	6565.321777
6789.2	6562.654297
6790	6411.964355
6790.8	6359.787598
6791.6	6543.959473
6792.4	6554.9375
6793.2	6475.989258
6794	6206.386719
6794.8	6315.817383
6795.6	6706.822754
6796.4	6550.524902
6797.2	6671.559082
6798	6847.321289
6798.8	6662.714844
6799.6	6643.242188
6800.4	6885.336426
6801.2	6841.805664
6802	6994.143555
6802.8	6987.23877
6803.6	6869.095703
6804.4	6656.865234
6805.2	6722.562988
6806	6809.410645
6806.8	6659.036133
6807.6	6661.090332
6808.4	7025.715332
6809.2	7011.144531
6810	6946.242676
6810.8	6803.395996
6811.6	7030.859375
6812.4	6949.900879
6813.2	6753.98877
6814	7033.252441
6814.8	6759.651367
6815.6	6099.633789
6816.4	6296.220703
6817.2	6841.573242
6818	6941.191406
6818.8	7023.443359
6819.6	6915.345703
6820.4	6694.106445
6821.2	6905.719727
6822	7221.708496
6822.8	7420.121582
6823.6	7515.985352
6824.4	7463.36084
6825.2	7427.013184
6826	7638.140625
6826.8	7668.788086
6827.6	7490.20752
6828.4	7216.836914
6829.2	7318.97168
6830	7085.541016
6830.8	7136.40625
6831.6	7380.806152
6832.4	7191.998535
6833.2	6872.880371
6834	7013.671387
6834.8	7436.690918
6835.6	7402.905762
6836.4	7259.36377
6837.2	7235.103516
6838	7274.78125
6838.8	7348.607422
6839.6	7229.675293
6840.4	6986.592773
6841.2	6954.686523
6842	6808.734863
6842.8	7034.007324
6843.6	7334.231445
6844.4	7603.672852
6845.2	7809.872559
6846	7736.233398
6846.8	7546.172363
6847.6	7675.778809
6848.4	8068.291504
6849.2	7757.658203
6850	7532.862793
6850.8	7263.463379
6851.6	7378.089355
6852.4	7271.12207
6853.2	7181.902344
6854	7328.865234
6854.8	7195.390625
6855.6	7059.583008
6856.4	6987.292969
6857.2	7223.075684
6858	7205.233398
6858.8	7366.524902
6859.6	7436
6860.4	7108.893555
6861.2	7071.771484
6862	6678.75293
6862.8	6979.253906
6863.6	7328.362793
6864.4	7736.371094
6865.2	7500.367188
6866	7374.334473
6866.8	6890.336914
6867.6	5618.523926
6868.4	4516.589844
6869.2	4627.929199
6870	5321.066895
6870.8	5375.95459
6871.6	5262.376465
6872.4	5394.947754
6873.2	5744.572754
6874	5910.224121
6874.8	5904.361328
6875.6	6399.24707
6876.4	6497.755859
6877.2	6577.550293
6878	6793.517578
6878.8	6892.78125
6879.6	7036.146484
6880.4	7292.530273
6881.2	7664.365234
6882	7605.76416
6882.8	7494.617188
6883.6	7095.826172
6884.4	6927.791504
6885.2	7424.128906
6886	7057.192383
6886.8	6971.294434
6887.6	7501.490723
6888.4	7616.789551
6889.2	6913.618652
6890	6683.234375
6890.8	7366.613281
6891.6	7684.837891
6892.4	7018.203125
6893.2	6860.111816
6894	7296.385254
6894.8	7722.501465
6895.6	7496.608398
6896.4	6888.816895
6897.2	6895.251465
6898	7333.646484
6898.8	7866.155762
6899.6	7407.651855
6900.4	6671.319824
6901.2	6789.913086
6902	7527.132812
6902.8	8103.975586
6903.6	8167.424316
6904.4	7527.280762
6905.2	7358.27832
6906	8023.776855
6906.8	8720.645508
6907.6	8870.619141
6908.4	8390.625
6909.2	7909.004883
6910	8197.459961
6910.8	8386.729492
6911.6	8376.464844
6912.4	8137.01123
6913.2	7677.278809
6914	7525.598145
6914.8	7645.299316
6915.6	8380.573242
6916.4	8378.411133
6917.2	8315.97168
6918	8252.532227
6918.8	7947.358887
6919.6	7897.346191
6920.4	8280.351562
6921.2	8714.764648
6922	8727.061523
6922.8	8585.338867
6923.6	8103.557129
6924.4	7563.799805
6925.2	7698.567383
6926	7765.304199
6926.8	7783.871582
6927.6	8310.21582
6928.4	8071.63916
6929.2	7616.147949
6930	7739.13916
6930.8	7982.067871
6931.6	8000.775879
6932.4	8169.743164
6933.2	7947.11377
6934	7942.358398
6934.8	8249.542969
6935.6	8529.339844
6936.4	8728.907227
6937.2	8713.295898
6938	8690.046875
6938.8	8639.755859
6939.6	8603.235352
6940.4	8589.070312
6941.2	9078.845703
6942	8702.364258
6942.8	8616.97168
6943.6	8440.790039
6944.4	8324.933594
6945.2	8258.897461
6946	8344.042969
6946.8	8550.638672
6947.6	8381.138672
6948.4	8372.532227
6949.2	8206.530273
6950	8486.540039
6950.8	8606.463867
6951.6	8183.266113
6952.4	8300.598633
6953.2	8174.109863
6954	7942.70752
6954.8	8172.374512
6955.6	8429.420898
6956.4	8098.319824
6957.2	8361.874023
